"","PCode","REGION","DISTRICT","Code_CSREF","STRUCTURE","PCODE2","TYPE","DATE OUVERTURE","NBRE VILLAGE","DISTANCE","ACCESSIBILITE","Source","obs","X2","Y2","Y3"
"751","ML02R04C013","KOULIKORO","FANA","ML02R04","KOTOULA","ML02R04C013","CSCOM","2010",7,0,"OUI","OMS Survey",NA,-7.20444000044,12.4424999996,NA
"752","ML05R04C009","MOPTI","DJENNE","ML05R04","KOUAKOUROU","ML05R04C009","CSCOM","1994",12,55,"NON","OMS Survey",NA,-4.51763000007,14.1351999999,NA
"753","ML05R07C011","MOPTI","TENENKOU","ML05R07","KOUBI","ML05R07C011","CSCOM","2002",22,22,"NON","OMS Survey",NA,-4.866944274,14.394166973,NA
"754","ML03R01C029","SIKASSO","SIKASSO","ML03R01","KOUGNAN","ML03R01C029","CSCOM","2006",1,127,"OUI","OMS Survey",NA,-6.515,11.62,NA
"755","ML05R04C010","MOPTI","DJENNE","ML05R04","KOUI0A","ML05R04C010","CSCOM","1995",11,1,"NON","OMS Survey",NA,-4.75910999974,13.7343100004,NA
"756","ML02R01C007","KOULIKORO","KOULIKORO","ML02R01","KOULA","ML02R01C007","CSCOM","1994",15,35,"NON","OMS Survey",NA,-7.653055652,13.115833222,NA
"757","ML04R08C005","SEGOU","TOMINIAN","ML04R08","KOULA","ML04R08C005","CSCOM","2000",20,53,"OUI","OMS Survey",NA,-4.273152024,13.241212097,NA
"758","ML04R03C013","SEGOU","BLA","ML04R03","KOULANDOUGOU","ML04R03C013","CSCOM","2002",11,67,"OUI","OMS Survey",NA,-5.28219000024,13.1660499998,NA
"759","ML02R01C000","KOULIKORO","KOULIKORO","ML02R01","KOULIKORO CSREF","ML02R01C000","CSRef","1994",0,65,NA,"OMS Survey",NA,-7.44092999974,12.9680199999,NA
"760","ML02R01C008","KOULIKORO","KOULIKORO","ML02R01","KOULIKORO-BA","ML02R01C008","CSCOM","1997",21,52,"OUI","OMS Survey",NA,-7.44092999974,12.9680199999,NA
"761","ML05R03C010","MOPTI","BANKASS","ML05R03","KOULOGON","ML05R03C010","CSCOM","2004",16,35,"OUI","OMS Survey",NA,-3.442230023,13.814678223,NA
"762","ML05R03C011","MOPTI","BANKASS","ML05R03","KOULOU","ML05R03C011","CSCOM","2007",7,75,"NON","OMS Survey",NA,-3.80383227332,13.6923559727,NA
"763",NA,"KOULIKORO","Kati",NA,"KOULOUBA","0","CSCOM",NA,NA,NA,NA,"Cluster Nutrition","1 village ms dans Kolokani",NA,NA,NA
"764","ML06R05C014","TOMBOUCTOU","NIAFUNKE","ML06R05","KOUMAIRA","ML06R05C014","CSCOM","2005",24,18,"OUI","OMS Survey",NA,-3.864635148,15.7836251,NA
"765","ML03R04C004","SIKASSO","KIGNAN","ML03R04","KOUMANKOU","ML03R04C004","CSCOM","2010",2,1,"OUI","OMS Survey",NA,-6.140277901,12.098610846,NA
"766","ML03R01C030","SIKASSO","SIKASSO","ML03R01","KOUMANKOUN","ML03R01C030","CSCOM","1994",1,1,"OUI","OMS Survey",NA,-6.140277901,12.098610846,NA
"767","ML03R02C022","SIKASSO","BOUGOUNI","ML03R02","KOUMANTOU","ML03R02C022","CSCOM","1995",18,70,"OUI","OMS Survey",NA,-6.845656026,11.403171971,NA
"768","ML03R09C007","SIKASSO","YOROSSO","ML03R09","KOUMBIA","ML03R09C007","CSCOM","2004",10,55,"OUI","OMS Survey",NA,-4.689992274,12.591948972,NA
"769","ML02R07C005","KOULIKORO","KOLOKANI","ML02R07","KOUMI","ML02R07C005","CSCOM","2008",13,10,"NON","OMS Survey",NA,-8.01691999973,13.5346299999,NA
"770","ML01R02C015","KAYES","BAFOULABE","ML01R02","KOUNDIAN","ML01R02C015","CSCOM","2006",6,140,"OUI","OMS Survey",NA,-10.682897155,13.161165972,NA
"771","ML01R03C014","KAYES","DIEMA","ML01R03","KOUNGO","ML01R03C014","CSCOM","2009",13,55,"NON","OMS Survey",NA,-9.35299000005,14.7993700002,NA
"772","ML03R06C017","SIKASSO","KOUTIALA","ML03R06","KOUNIANA","ML03R06C017","CSCOM","2002",10,45,"OUI","OMS Survey",NA,-5.12740315,12.572586597,NA
"773","ML03R01C031","SIKASSO","SIKASSO","ML03R01","KOUNKOBA","ML03R01C031","CSCOM","2001",7,100,"OUI","OMS Survey",NA,-6.434444401,11.604444471,NA
